file,kind,overall,en_pages,ru_pages,ua_pages,unknown_pages,likely_translation,notes
Attachment 49 - Article “About the ACM Organization”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
"Attachment 29 - Satellite Roof Segmentation and Area Calculation, Sample Results.pdf",pdf-text,ENGLISH,1,0,0,0,no,
Attachment 101 - Article “Ukrainian Metrological Journal”.pdf,pdf-text,ENGLISH,5,0,0,0,no,
Attachment 64 - Invitation to Serve as Jury Member at Fresh Engineering Summer School 2019.pdf,pdf-text,ENGLISH,1,0,0,0,no,
"Attachment 23 - Act of Services Rendered, GlobalLogic Ukraine.pdf",pdf-text,ENGLISH,1,0,0,1,no,
Attachment 33 - SPIE Certificate of Membership.pdf,pdf-ocr,ENGLISH,1,0,0,0,no,
"Attachment 146 - Currency Exchange 1,050,795 UAH to 24,916.6 USD.pdf",pdf-text,ENGLISH,2,0,0,0,no,
Attachment 137 - Article “About GlobalLogic”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 161 - Article “2024 Fourth Quarter Manufacturers’ Outlook Survey”.pdf,pdf-text,ENGLISH,12,0,0,0,no,
Attachment 125 - Article “About KPI Science News”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 154 - ProtoVision Studio DESCRIPTION.pdf,pdf-text,ENGLISH,37,0,0,0,no,
Attachment 150 - Article “Average Monthly Salary by Industry”.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Attachment 32 - Master's Degree in Automation and Computer-Integrated Technologies Diploma with transcript.pdf,pdf-text,ENGLISH,7,0,1,1,yes,non_en_then_en_pages
Attachment 16 - Order of the Ministry of Education and Science of Ukraine No. 1438.pdf,pdf-ocr,UKRAINIAN,0,0,5,0,no,
Attachment 144 - Article “Leave the choice to yourself. Why Ukrainian IT is against additional regulation”.pdf,pdf-text,ENGLISH,15,0,2,0,yes,non_en_then_en_pages
"Attachment 151 - Currency Exchange 65,579 UAH to 1,555.02 USD.pdf",pdf-text,ENGLISH,2,0,0,0,no,
Attachment 99 - Article “Mathematical Aspects of Distortion Calibration for Digital Cameras”.pdf,pdf-text,UKRAINIAN,2,0,5,0,yes,non_en_then_en_pages
Attachment 31 - Petitioner's CV.pdf,pdf-text,ENGLISH,11,0,0,0,no,
Attachment 18 - Article “On the establishment of named academic scholarships of the Verkhovna Rada of Ukraine for applicants for professional pre-higher and higher education”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 25 - Surgical Instrument Instance Segmentation Sample Results.pdf,pdf-ocr,UKRAINIAN,0,0,2,2,no,
Attachment 86 - Face recognition.pdf,pdf-ocr,ENGLISH,1,0,0,0,no,
Attachment 91 - Formula Student SAE Team Photos.pdf,pdf-ocr,ENGLISH,1,0,0,1,no,
Attachment 85 - Letter of recommendation from Michael Dybkaliuk.pdf,pdf-ocr,ENGLISH,2,0,0,0,no,
"Attachment 66 - Social Media Post by GlobalLogic Ukraine, June 25, 2019.pdf",pdf-text,ENGLISH,1,0,0,0,no,translation_cue_words
Attachment 4 - Certificate of III Place in District Stage of All-Ukrainian Informatics Olympiad 2014.pdf,pdf-text,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 62 - Certificate of Gratitude.pdf,pdf-ocr,ENGLISH,1,0,0,0,no,
Attachment 78 - Letter of recommendation from Alevtyna Mozolyuk.pdf,pdf-text,ENGLISH,3,0,0,0,no,
Attachment 36 - Article “SPIE Member Recognition”.pdf,pdf-text,ENGLISH,4,0,0,0,no,
Attachment 3 - Certificate of Good Result in International Informatics Competition Beaver 2013.pdf,pdf-text,ENGLISH,1,0,0,1,no,
Attachment 160 - Letter of Interest from Spiral Science and Technology Inc..docx.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 26 - Padel Event Detection System Technical Documentation.pdf,pdf-text,ENGLISH,18,0,0,1,no,
Attachment 138 - Article “GlobalLogic has acquired 15 clients in Europe since the beginning of the year. Nine new projects are being led by Ukrainian teams”.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 112 - Article “Editorial Team Measuring and Computing Devices in Technological Processes Journal”.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 156 - Business Plan.pdf,pdf-text,ENGLISH,107,0,0,0,no,
Attachment 96 - Article “Naukovi Visti NTUU KPI”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 90 - Article “Car 2016:17 | Formula Student KPI”.pdf,pdf-ocr,ENGLISH,1,0,0,0,no,
"Attachment 103 - Article ""Refine Your Search Results"".pdf",pdf-text,ENGLISH,2,0,0,0,no,
Attachment 121 - Conference Thesis “Optical-Electronic Detector of Road Marking”.pdf,pdf-text,UKRAINIAN,5,0,11,1,yes,non_en_then_en_pages
Attachment 1 - Certificate of Excellence in International Informatics Competition Beaver 2011.pdf,pdf-text,ENGLISH,1,0,0,1,no,
Attachment 113 - Index Copernicus Measuring and Computing Devices in Technological Processes Journal Profile.pdf,pdf-text,ENGLISH,1,0,0,0,no,
"Attachment 136 - Currency Exchange 5,600,000,000 UAH to 133,829,360 USD.pdf",pdf-text,ENGLISH,3,0,0,0,no,
Attachment 155 - ProtoVision Studio SCREENS.pdf,pdf-text,ENGLISH,22,0,0,0,no,
"Attachment 147 - Currency Exchange 87,566.25 UAH to 2,076.38 USD.pdf",pdf-text,ENGLISH,2,0,0,0,no,
"Attachment 42 - Article ""Join IEEE | Advance Your Career, Connect Globally, and Innovate"".pdf",pdf-text,ENGLISH,5,0,0,0,no,
Attachment 2 - Certificate of Good Result in International Informatics Competition Beaver 2012.pdf,pdf-text,ENGLISH,1,0,0,1,no,
"Attachment 124 - Article “”IAS ""Ukrainian Scientific Periodicals KPI Science News"".pdf",pdf-text,ENGLISH,2,0,0,0,no,
Attachment 19 - GitHub Repository “Digital Image Processing Labs”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 128 - Conference Thesis “LED as the Main Radiation Source”.pdf,pdf-text,UKRAINIAN,0,0,12,0,no,
Attachment 58 - Article “CSC Hackathon 2021 Online”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 119 - Conference Thesis “Optical-Electronic Detector of Road Marking”.pdf,pdf-text,RUSSIAN,0,4,0,0,no,
Attachment 157 - Real Estate Appraisal Report.pdf,pdf-text,UKRAINIAN,0,0,3,0,no,
Attachment 145 - Computer Vision Engineer Salary in Ukraine (2025) - ERI SalaryExpert.pdf,pdf-text,ENGLISH,6,0,0,0,no,
"Attachment 158 - Currency Exchange 5,084,298.41 UAH to 120,559 USD.pdf",pdf-text,ENGLISH,4,0,0,0,no,
Attachment 56 - Article “Weekly newspaper “Kyiv Politechnic”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 82 - Letter of recommendation from Konstantyn Shyshkin.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 44 - Article “IEEE - The world's largest technical professional organization dedicated to advancing technology for the benefit of humanity”.pdf,pdf-text,ENGLISH,4,0,0,0,no,
Attachment 39 - Article “SPIE Officers and Directors”.pdf,pdf-text,ENGLISH,5,0,0,0,no,
Attachment 65 - Photos from Fresh Engineering Summer School 2019.pdf,pdf-ocr,UKRAINIAN,2,0,3,0,yes,non_en_then_en_pages
Attachment 164 - DHS STEM Designated Degree Program List.pdf,pdf-text,ENGLISH,16,0,0,0,no,
Attachment 81 - Letter of recommendation from Amir Han.pdf,pdf-ocr,ENGLISH,3,0,0,0,no,
Attachment 7 - Certificate of Good Result in All-Ukrainian Physics Competition Levenya 2014.pdf,pdf-text,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 109 - Article “Image Stabilization in TV Car Control Systems”.pdf,pdf-text,UKRAINIAN,0,0,6,0,no,
Attachment 38 - Article “Mission and Values of SPIE”.pdf,pdf-text,ENGLISH,1,0,0,0,no,
Attachment 22 - Certificate of Completion of the Educational Component of the Doctoral (PhD) Program + ENG.pdf,pdf-ocr,ENGLISH,2,0,2,0,yes,non_en_then_en_pages
Attachment 12 - Bachelor's Degree in Optical Technology Diploma with transcript.pdf,pdf-text,ENGLISH,7,1,1,0,yes,non_en_then_en_pages
"Attachment 133 - Article “Problems of labor protection, industrial and civil security”.pdf",pdf-text,ENGLISH,6,0,0,0,no,
Attachment 72 - Letter of Recommendation from Oleksii Mosolab.pdf,pdf-ocr,ENGLISH,3,0,0,0,no,
Attachment 88 - Retopology and quality control pipeline (TopoMeshQA).pdf,pdf-text,ENGLISH,3,0,0,1,no,
Attachment 69 - Thank You for Serving as Jury Member at Fresh Engineering Summer School 2019.pdf,pdf-text,ENGLISH,1,0,0,0,no,
"Attachment 59 - Invitation to Serve as Jury Member, CSC Hackathon 2021 Online.pdf",pdf-text,ENGLISH,1,0,0,0,no,
Attachment 83 - Drawing Recognition Sample Outputs.pdf,pdf-ocr,ENGLISH,2,1,1,1,no,
"Attachment 8 - Certificate of Basic Secondary Education, Grade 9, 2012.pdf",pdf-ocr,UKRAINIAN,0,1,3,0,no,
Attachment 14 - Letter from Scholaro.pdf,error,,0,0,0,0,,ERROR:cryptography>=3.1 is required for AES algorithm
Attachment 5 - Certificate of Good Result in All-Ukrainian Physics Competition Levenya 2011.pdf,pdf-ocr,ENGLISH,1,0,1,0,yes,non_en_then_en_pages
Attachment 115 - Article “Recognition Algorithm of Human by Thermographic Image”.pdf,pdf-text,RUSSIAN,1,3,1,0,yes,non_en_then_en_pages
"Attachment 45 - Article ""Kathleen Kramer, PhD - University of San Diego"".pdf",pdf-text,ENGLISH,1,0,0,0,no,
"Attachment 143 - Currency Exchange 28,752 EUR to 33,821.3 USD.pdf",pdf-text,ENGLISH,4,0,0,0,no,
Attachment 84 - Ball Side Prediction Implementation Plan.pdf,pdf-text,ENGLISH,1,0,0,0,no,
"Attachment 61 - Confirmation of Jury Participation, CSC Hackathon 2021 Online, July 10, 2021.pdf",pdf-text,ENGLISH,1,0,0,0,no,
Attachment 104 - Article “Editorial Team”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
Attachment 95 - Article “About the Journal”.pdf,pdf-text,ENGLISH,5,0,0,0,no,
Attachment 122 - Article “High Resolution Camera Design Planning Theoretical Foundations for Driving Systems”.pdf,pdf-text,UKRAINIAN,1,0,5,0,yes,non_en_then_en_pages
Attachment 55 - Article “Teacher and Student”.pdf,pdf-text,ENGLISH,1,0,0,1,no,
"Attachment 159 - Letter of Interest from Waveo, Inc..pdf",pdf-text,ENGLISH,2,0,0,0,no,
Attachment 37 - Article “About SPIE”.pdf,pdf-text,ENGLISH,2,0,0,0,no,
